河道地形							
420							
1	断面1872	970419	0.016				
矩形	3	6.6	70.403	78.403			
2	断面1873	970429	0.016				
矩形	3	6.6	70.337	78.337			
3	断面1874	970464	0.016				
梯形	1	11	70.202	78.124	2.5		
4	断面1875	970674	0.016				
矩形	3	6.6	70.179	77.979			
5	断面1876	971342	0.016				
梯形	1	13.5	70.0925	77.9925	2.5		
6	断面1877	972010	0.016				
梯形	1	13.5	70.067	77.966	2.5		
7	断面1878	972514.2222	0.016				
梯形	1	10	70.04511111	77.94411111	3		
8	断面1879	973018.4444	0.016				
梯形	1	10	70.02322222	77.92222222	3		
9	断面1880	973522.6667	0.016				
梯形	1	10	70.00133333	77.90033333	3		
10	断面1881	974026.8889	0.016				
梯形	1	10	69.97944444	77.87844444	3		
11	断面1882	974531.1111	0.016				
梯形	1	10	69.95755556	77.85655556	3		
12	断面1883	975035.3333	0.016				
梯形	1	10	69.93566667	77.83466667	3		
13	断面1884	975539.5556	0.016				
梯形	1	10	69.91377778	77.81277778	3		
14	断面1885	976043.7778	0.016				
梯形	1	10	69.89188889	77.79088889	3		
15	断面1886	976548	0.016				
梯形	1	10	69.87	77.771	3		
16	断面1887	977098	0.016				
梯形	1	10	69.867	77.768	3		
17	断面1888	977648	0.016				
梯形	1	10	69.864	77.765	3		
18	断面1889	978198	0.016				
梯形	1	10	69.861	77.762	3		
19	断面1890	980136	0.016				
梯形	1	21	69.987	76.878	3		
20	断面1891	980141	0.016				
梯形	1	21	69.987	76.878	3		
21	断面1892	980755.25	0.016				
梯形	1	21	69.9505	76.8415	3		
22	断面1893	981374.5	0.016				
梯形	1	21	69.914	76.805	3		
23	断面1894	981993.75	0.016				
梯形	1	21	69.8775	76.7685	3		
24	断面1895	982613	0.016				
梯形	1	21	69.841	76.732	3		
25	断面1896	983159.6667	0.016				
梯形	1	20	69.81916667	76.71016667	3		
26	断面1897	983706.3333	0.016				
梯形	1	20	69.79733333	76.68833333	3		
27	断面1898	984253	0.016				
梯形	1	20	69.7755	76.6665	3		
28	断面1899	984799.6667	0.016				
梯形	1	20	69.75366667	76.64466667	3		
29	断面1900	985346.3333	0.016				
梯形	1	20	69.73183333	76.62283333	3		
30	断面1901	985893	0.016				
梯形	1	20	69.71	76.606	3		
31	断面1902	986433	0.016				
梯形	1	23.5	69.6884	76.5844	2		
32	断面1903	986973	0.016				
梯形	1	23.5	69.6668	76.5628	2		
33	断面1904	987513	0.016				
梯形	1	23.5	69.6452	76.5412	2		
34	断面1905	988053	0.016				
梯形	1	23.5	69.6236	76.5196	2		
35	断面1906	988593	0.016				
梯形	1	23.5	69.602	76.496	2		
36	断面1907	989121.1111	0.016				
梯形	1	21.5	69.58488889	76.47888889	2.5		
37	断面1908	989649.2222	0.016				
梯形	1	21.5	69.56777778	76.46177778	2.5		
38	断面1909	990177.3333	0.016				
梯形	1	21.5	69.55066667	76.44466667	2.5		
39	断面1910	990705.4444	0.016				
梯形	1	21.5	69.53355556	76.42755556	2.5		
40	断面1911	991233.5556	0.016				
梯形	1	21.5	69.51644444	76.41044444	2.5		
41	断面1912	991761.6667	0.016				
梯形	1	21.5	69.49933333	76.39333333	2.5		
42	断面1913	992289.7778	0.016				
梯形	1	21.5	69.48222222	76.37622222	2.5		
43	断面1914	992817.8889	0.016				
梯形	1	21.5	69.46511111	76.35911111	2.5		
44	断面1915	993346	0.016				
梯形	1	21.5	69.448	76.347	2.5		
45	断面1916	993907.75	0.016				
梯形	1	21.5	69.4165	76.3155	2.5		
46	断面1917	994469.5	0.016				
梯形	1	21.5	69.385	76.284	2.5		
47	断面1918	995031.25	0.016				
梯形	1	21.5	69.3535	76.2525	2.5		
48	断面1919	995593	0.016				
梯形	1	21.5	69.322	76.225	2.5		
49	断面1920	996093	0.016				
梯形	1	23.5	69.302	76.205	2		
50	断面1921	996593	0.016				
梯形	1	23.5	69.282	76.185	2		
51	断面1922	997093	0.016				
梯形	1	23.5	69.262	76.165	2		
52	断面1923	997593	0.016				
梯形	1	23.5	69.242	76.146	2		
53	断面1924	998157.4	0.016				
梯形	1	21.5	69.2194	76.1234	2.5		
54	断面1925	998721.8	0.016				
梯形	1	21.5	69.1968	76.1008	2.5		
55	断面1926	999286.2	0.016				
梯形	1	21.5	69.1742	76.0782	2.5		
56	断面1927	999850.6	0.016				
梯形	1	21.5	69.1516	76.0556	2.5		
57	断面1928	1000415	0.016				
梯形	1	21.5	69.129	76.038	2.5		
58	断面1929	1002189	0.016				
梯形	1	21.5	69.879	75.788	2.5		
59	断面1930	1002194	0.016				
梯形	1	21.5	69.879	75.788	2.5		
60	断面1931	1002746.714	0.016				
梯形	1	21.5	69.707	75.616	2.5		
61	断面1932	1003304.429	0.016				
梯形	1	21.5	69.535	75.444	2.5		
62	断面1933	1003862.143	0.016				
梯形	1	21.5	69.363	75.272	2.5		
63	断面1934	1004419.857	0.016				
梯形	1	21.5	69.191	75.1	2.5		
64	断面1935	1004977.571	0.016				
梯形	1	21.5	69.019	74.928	2.5		
65	断面1936	1005535.286	0.016				
梯形	1	21.5	68.847	74.756	2.5		
66	断面1937	1006093	0.016				
梯形	1	21.5	68.675	75.59	2.5		
67	断面1938	1006794.5	0.016				
梯形	1	20	68.672	75.587	3		
68	断面1939	1007496	0.016				
梯形	1	20	68.669	75.584	3		
69	断面1940	1008015.4	0.016				
梯形	1	20	68.6382	75.5532	3		
70	断面1941	1008534.8	0.016				
梯形	1	20	68.6074	75.5224	3		
71	断面1942	1009054.2	0.016				
梯形	1	20	68.5766	75.4916	3		
72	断面1943	1009573.6	0.016				
梯形	1	20	68.5458	75.4608	3		
73	断面1944	1010093	0.016				
梯形	1	20	68.515	75.441	3		
74	断面1945	1010633	0.016				
梯形	1	21.5	68.49342857	75.41942857	2.5		
75	断面1946	1011173	0.016				
梯形	1	21.5	68.47185714	75.39785714	2.5		
76	断面1947	1011713	0.016				
梯形	1	21.5	68.45028571	75.37628571	2.5		
77	断面1948	1012253	0.016				
梯形	1	21.5	68.42871429	75.35471429	2.5		
78	断面1949	1012793	0.016				
梯形	1	21.5	68.40714286	75.33314286	2.5		
79	断面1950	1013333	0.016				
梯形	1	21.5	68.38557143	75.31157143	2.5		
80	断面1951	1013873	0.016				
梯形	1	21.5	68.364	75.293	2.5		
81	断面1952	1014499.5	0.016				
梯形	1	21.5	68.362	75.291	2.5		
82	断面1953	1015126	0.016				
梯形	1	21.5	68.36	75.29	2.5		
83	断面1954	1017430	0.016				
梯形	1	21.5	67.574	74.504	2.5		
84	断面1955	1017435	0.016				
梯形	1	21.5	67.574	74.504	2.5		
85	断面1956	1017798	0.016				
梯形	1	21.5	67.51	74.442	2.5		
86	断面1957	1018309.188	0.016				
梯形	1	20	67.4895625	74.4215625	3		
87	断面1958	1018820.375	0.016				
梯形	1	20	67.469125	74.401125	3		
88	断面1959	1019331.563	0.016				
梯形	1	20	67.4486875	74.3806875	3		
89	断面1960	1019842.75	0.016				
梯形	1	20	67.42825	74.36025	3		
90	断面1961	1020353.938	0.016				
梯形	1	20	67.4078125	74.3398125	3		
91	断面1962	1020865.125	0.016				
梯形	1	20	67.387375	74.319375	3		
92	断面1963	1021376.313	0.016				
梯形	1	20	67.3669375	74.2989375	3		
93	断面1964	1021887.5	0.016				
梯形	1	20	67.3465	74.2785	3		
94	断面1965	1022398.688	0.016				
梯形	1	20	67.3260625	74.2580625	3		
95	断面1966	1022909.875	0.016				
梯形	1	20	67.305625	74.237625	3		
96	断面1967	1023421.063	0.016				
梯形	1	20	67.2851875	74.2171875	3		
97	断面1968	1023932.25	0.016				
梯形	1	20	67.26475	74.19675	3		
98	断面1969	1024443.438	0.016				
梯形	1	20	67.2443125	74.1763125	3		
99	断面1970	1024954.625	0.016				
梯形	1	20	67.223875	74.155875	3		
100	断面1971	1025465.813	0.016				
梯形	1	20	67.2034375	74.1354375	3		
101	断面1972	1025977	0.016				
梯形	1	20	67.183	74.14	3		
102	断面1973	1026150	0.016				
矩形	3	6.3	67.026	75.026			
103	断面1974	1026663.222	0.016				
梯形	1	21.5	67.011	73.956	2.5		
104	断面1975	1027176.444	0.016				
梯形	1	21.5	66.996	73.941	2.5		
105	断面1976	1027689.667	0.016				
梯形	1	21.5	66.981	73.926	2.5		
106	断面1977	1028202.889	0.016				
梯形	1	21.5	66.966	73.911	2.5		
107	断面1978	1028716.111	0.016				
梯形	1	21.5	66.951	73.896	2.5		
108	断面1979	1029229.333	0.016				
梯形	1	21.5	66.936	73.881	2.5		
109	断面1980	1029742.556	0.016				
梯形	1	21.5	66.921	73.866	2.5		
110	断面1981	1030255.778	0.016				
梯形	1	21.5	66.906	73.851	2.5		
111	断面1982	1030769	0.016				
梯形	1	21.5	66.891	73.844	2.5		
112	断面1983	1031350.5	0.016				
梯形	1	20	66.85933333	73.81233333	2.5		
113	断面1984	1031932	0.016				
梯形	1	20	66.82766667	73.78066667	2.5		
114	断面1985	1032513.5	0.016				
梯形	1	20	66.796	73.749	2.5		
115	断面1986	1033095	0.016				
梯形	1	20	66.76433333	73.71733333	2.5		
116	断面1987	1033676.5	0.016				
梯形	1	20	66.73266667	73.68566667	2.5		
117	断面1988	1034258	0.016				
梯形	1	20	66.701	73.668	2.5		
118	断面1989	1035955	0.016				
梯形	1	20	66.516	73.483	2.5		
119	断面1990	1036023	0.016				
梯形	1	20	66.515	73.481	2.5		
120	断面1991	1036811	0.016				
梯形	1	16.5	66.488	73.446	2.5		
121	断面1992	1036963	0.016				
梯形	1	16.5	66.321	73.281	2.5		
122	断面1993	1036968	0.016				
梯形	1	16.5	66.321	73.281	2.5		
