边界条件		
水位	361	
2018/4/1	0:00:00	74.55679221
2018/4/1	2:00:00	74.60981411
2018/4/1	4:00:00	74.61597543
2018/4/1	6:00:00	74.61000146
2018/4/1	8:00:00	74.66896417
2018/4/1	10:00:00	74.62201216
2018/4/1	12:00:00	74.60339485
2018/4/1	14:00:00	74.6418847
2018/4/1	16:00:00	74.62314678
2018/4/1	18:00:00	74.56666565
2018/4/1	20:00:00	74.6434591
2018/4/1	22:00:00	74.63215835
2018/4/2	0:00:00	74.6288681
2018/4/2	2:00:00	74.61475302
2018/4/2	4:00:00	74.63194937
2018/4/2	6:00:00	74.69339738
2018/4/2	8:00:00	74.63745088
2018/4/2	10:00:00	74.63765448
2018/4/2	12:00:00	74.64298795
2018/4/2	14:00:00	74.65234714
2018/4/2	16:00:00	74.59987424
2018/4/2	18:00:00	74.67270502
2018/4/2	20:00:00	74.63757857
2018/4/2	22:00:00	74.64814499
2018/4/3	0:00:00	74.62213682
2018/4/3	2:00:00	74.67748606
2018/4/3	4:00:00	74.73474812
2018/4/3	6:00:00	74.63402716
2018/4/3	8:00:00	74.64223164
2018/4/3	10:00:00	74.62345958
2018/4/3	12:00:00	74.64673024
2018/4/3	14:00:00	74.63421429
2018/4/3	16:00:00	74.64880472
2018/4/3	18:00:00	74.64673024
2018/4/3	20:00:00	74.57886692
2018/4/3	22:00:00	74.59371099
2018/4/4	0:00:00	74.63553475
2018/4/4	2:00:00	74.60756231
2018/4/4	4:00:00	74.6208178
2018/4/4	6:00:00	74.58789077
2018/4/4	8:00:00	74.59720223
2018/4/4	10:00:00	74.63839722
2018/4/4	12:00:00	74.57176079
2018/4/4	14:00:00	74.58605053
2018/4/4	16:00:00	74.56295589
2018/4/4	18:00:00	74.61635201
2018/4/4	20:00:00	74.62553593
2018/4/4	22:00:00	74.56660317
2018/4/5	0:00:00	74.63245118
2018/4/5	2:00:00	74.59379761
2018/4/5	4:00:00	74.66361755
2018/4/5	6:00:00	74.60592552
2018/4/5	8:00:00	74.59352083
2018/4/5	10:00:00	74.60430663
2018/4/5	12:00:00	74.55383646
2018/4/5	14:00:00	74.56578597
2018/4/5	16:00:00	74.60006527
2018/4/5	18:00:00	74.57213909
2018/4/5	20:00:00	74.53271513
2018/4/5	22:00:00	74.61025238
2018/4/6	0:00:00	74.59804996
2018/4/6	2:00:00	74.57478073
2018/4/6	4:00:00	74.59584981
2018/4/6	6:00:00	74.63326897
2018/4/6	8:00:00	74.63509129
2018/4/6	10:00:00	74.5978703
2018/4/6	12:00:00	74.64268437
2018/4/6	14:00:00	74.58012606
2018/4/6	16:00:00	74.59861247
2018/4/6	18:00:00	74.6603477
2018/4/6	20:00:00	74.60141553
2018/4/6	22:00:00	74.62194954
2018/4/7	0:00:00	74.62383515
2018/4/7	2:00:00	74.60910486
2018/4/7	4:00:00	74.6575323
2018/4/7	6:00:00	74.650534
2018/4/7	8:00:00	74.62540868
2018/4/7	10:00:00	74.59197574
2018/4/7	12:00:00	74.62289357
2018/4/7	14:00:00	74.65704346
2018/4/7	16:00:00	74.62114235
2018/4/7	18:00:00	74.63993562
2018/4/7	20:00:00	74.66575651
2018/4/7	22:00:00	74.67697497
2018/4/8	0:00:00	74.7197527
2018/4/8	2:00:00	74.62597555
2018/4/8	4:00:00	74.68765301
2018/4/8	6:00:00	74.69537085
2018/4/8	8:00:00	74.7285863
2018/4/8	10:00:00	74.69883685
2018/4/8	12:00:00	74.695849
2018/4/8	14:00:00	74.72169811
2018/4/8	16:00:00	74.7054082
2018/4/8	18:00:00	74.68308229
2018/4/8	20:00:00	74.67062839
2018/4/8	22:00:00	74.66892847
2018/4/9	0:00:00	74.64870354
2018/4/9	2:00:00	74.69975139
2018/4/9	4:00:00	74.6924843
2018/4/9	6:00:00	74.64091333
2018/4/9	8:00:00	74.66377316
2018/4/9	10:00:00	74.67779973
2018/4/9	12:00:00	74.64644637
2018/4/9	14:00:00	74.65036844
2018/4/9	16:00:00	74.65182156
2018/4/9	18:00:00	74.66748536
2018/4/9	20:00:00	74.63713793
2018/4/9	22:00:00	74.67412178
2018/4/10	0:00:00	74.67226381
2018/4/10	2:00:00	74.62613261
2018/4/10	4:00:00	74.66836461
2018/4/10	6:00:00	74.68509703
2018/4/10	8:00:00	74.6855666
2018/4/10	10:00:00	74.65742133
2018/4/10	12:00:00	74.67679178
2018/4/10	14:00:00	74.67663473
2018/4/10	16:00:00	74.67735881
2018/4/10	18:00:00	74.72691806
2018/4/10	20:00:00	74.75584973
2018/4/10	22:00:00	74.70377407
2018/4/11	0:00:00	74.68411917
2018/4/11	2:00:00	74.68907392
2018/4/11	4:00:00	74.74845717
2018/4/11	6:00:00	74.74209877
2018/4/11	8:00:00	74.69691411
2018/4/11	10:00:00	74.74383574
2018/4/11	12:00:00	74.74257689
2018/4/11	14:00:00	74.71635178
2018/4/11	16:00:00	74.73502983
2018/4/11	18:00:00	74.71880369
2018/4/11	20:00:00	74.69943324
2018/4/11	22:00:00	74.67433814
2018/4/12	0:00:00	74.76210598
2018/4/12	2:00:00	74.71505907
2018/4/12	4:00:00	74.75469137
2018/4/12	6:00:00	74.72112893
2018/4/12	8:00:00	74.71358504
2018/4/12	10:00:00	74.75446536
2018/4/12	12:00:00	74.73030726
2018/4/12	14:00:00	74.70069209
2018/4/12	16:00:00	74.70107976
2018/4/12	18:00:00	74.76006218
2018/4/12	20:00:00	74.75080349
2018/4/12	22:00:00	74.74438166
2018/4/13	0:00:00	74.73567906
2018/4/13	2:00:00	74.7492136
2018/4/13	4:00:00	74.74024596
2018/4/13	6:00:00	74.80752945
2018/4/13	8:00:00	74.82289872
2018/4/13	10:00:00	74.86765501
2018/4/13	12:00:00	74.86987391
2018/4/13	14:00:00	74.87798885
2018/4/13	16:00:00	74.87877266
2018/4/13	18:00:00	74.87348316
2018/4/13	20:00:00	74.89376407
2018/4/13	22:00:00	74.87740665
2018/4/14	0:00:00	74.85415088
2018/4/14	2:00:00	74.93575604
2018/4/14	4:00:00	74.88572275
2018/4/14	6:00:00	74.86213842
2018/4/14	8:00:00	74.82
2018/4/14	10:00:00	74.87
2018/4/14	12:00:00	74.91273686
2018/4/14	14:00:00	74.85842953
2018/4/14	16:00:00	74.84804866
2018/4/14	18:00:00	74.86138427
2018/4/14	20:00:00	74.84710708
2018/4/14	22:00:00	74.82056413
2018/4/15	0:00:00	74.8751546
2018/4/15	2:00:00	74.84415234
2018/4/15	4:00:00	74.85521784
2018/4/15	6:00:00	74.80678926
2018/4/15	8:00:00	74.89955945
2018/4/15	10:00:00	74.88672955
2018/4/15	12:00:00	74.88858349
2018/4/15	14:00:00	74.92933914
2018/4/15	16:00:00	74.89109903
2018/4/15	18:00:00	74.98580283
2018/4/15	20:00:00	75.02722126
2018/4/15	22:00:00	75.05358628
2018/4/16	0:00:00	75.05848764
2018/4/16	2:00:00	75.04402607
2018/4/16	4:00:00	75.05370401
2018/4/16	6:00:00	75.08697439
2018/4/16	8:00:00	75.04223172
2018/4/16	10:00:00	75.08245159
2018/4/16	12:00:00	75.11259234
2018/4/16	14:00:00	75.12339557
2018/4/16	16:00:00	75.06600635
2018/4/16	18:00:00	75.10987586
2018/4/16	20:00:00	75.09943332
2018/4/16	22:00:00	75.14647732
2018/4/17	0:00:00	75.12697531
2018/4/17	2:00:00	75.13056687
2018/4/17	4:00:00	75.18900991
2018/4/17	6:00:00	75.13
2018/4/17	8:00:00	75.12339624
2018/4/17	10:00:00	75.17543284
2018/4/17	12:00:00	75.18710586
2018/4/17	14:00:00	75.22056594
2018/4/17	16:00:00	75.2142773
2018/4/17	18:00:00	75.27185143
2018/4/17	20:00:00	75.27512204
2018/4/17	22:00:00	75.28830215
2018/4/18	0:00:00	75.30694782
2018/4/18	2:00:00	75.29723272
2018/4/18	4:00:00	75.31012481
2018/4/18	6:00:00	75.34962363
2018/4/18	8:00:00	75.30434115
2018/4/18	10:00:00	75.31506247
2018/4/18	12:00:00	75.32578594
2018/4/18	14:00:00	75.26030887
2018/4/18	16:00:00	75.29395985
2018/4/18	18:00:00	75.3105666
2018/4/18	20:00:00	75.23949533
2018/4/18	22:00:00	75.24075217
2018/4/19	0:00:00	75.28440324
2018/4/19	2:00:00	75.23698209
2018/4/19	4:00:00	75.21632069
2018/4/19	6:00:00	75.24874216
2018/4/19	8:00:00	75.21496726
2018/4/19	10:00:00	75.27150784
2018/4/19	12:00:00	75.31648096
2018/4/19	14:00:00	75.29352296
2018/4/19	16:00:00	75.30823762
2018/4/19	18:00:00	75.28490333
2018/4/19	20:00:00	75.33382698
2018/4/19	22:00:00	75.34597606
2018/4/20	0:00:00	75.36817414
2018/4/20	2:00:00	75.3388063
2018/4/20	4:00:00	75.3277359
2018/4/20	6:00:00	75.29240827
2018/4/20	8:00:00	75.32861746
2018/4/20	10:00:00	75.30062837
2018/4/20	12:00:00	75.28471691
2018/4/20	14:00:00	75.26100432
2018/4/20	16:00:00	75.25704481
2018/4/20	18:00:00	75.31270499
2018/4/20	20:00:00	75.3004385
2018/4/20	22:00:00	75.24302419
2018/4/21	0:00:00	75.28452805
2018/4/21	2:00:00	75.31949716
2018/4/21	4:00:00	75.26804942
2018/4/21	6:00:00	75.27465302
2018/4/21	8:00:00	75.20277913
2018/4/21	10:00:00	75.22352096
2018/4/21	12:00:00	75.17131993
2018/4/21	14:00:00	75.15703611
2018/4/21	16:00:00	75.17931035
2018/4/21	18:00:00	75.17251932
2018/4/21	20:00:00	75.20440084
2018/4/21	22:00:00	75.21000149
2018/4/22	0:00:00	75.18962457
2018/4/22	2:00:00	75.16069218
2018/4/22	4:00:00	75.18188764
2018/4/22	6:00:00	75.16100614
2018/4/22	8:00:00	75.15352458
2018/4/22	10:00:00	75.22209648
2018/4/22	12:00:00	75.15087919
2018/4/22	14:00:00	75.12667012
2018/4/22	16:00:00	75.17635202
2018/4/22	18:00:00	75.16415031
2018/4/22	20:00:00	75.19358538
2018/4/22	22:00:00	75.19069254
2018/4/23	0:00:00	75.22075308
2018/4/23	2:00:00	75.20597523
2018/4/23	4:00:00	75.21603552
2018/4/23	6:00:00	75.21944611
2018/4/23	8:00:00	75.21748294
2018/4/23	10:00:00	75.22938142
2018/4/23	12:00:00	75.18349025
2018/4/23	14:00:00	75.18993802
2018/4/23	16:00:00	75.21949624
2018/4/23	18:00:00	75.18748503
2018/4/23	20:00:00	75.17534709
2018/4/23	22:00:00	75.18578785
2018/4/24	0:00:00	75.19572377
2018/4/24	2:00:00	75.19438327
2018/4/24	4:00:00	75.16506195
